"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","entrez_id","symbol"
108.922127976716,2.0570638345841,0.196905313156012,10.4469696709212,1.51281888958412e-25,1.30538201374068e-24,"hes family bHLH transcription factor 4","57801","HES4"
3.15810817128513,2.95472164641184,1.29792491898597,2.27649658558084,0.0228163047331629,0.0419494385176342,"hes family bHLH transcription factor 2","54626","HES2"
12.974640930305,3.04770708207733,0.655648991392372,4.64838217108374,3.34548639275264e-06,1.01976791016315e-05,"dorsal inhibitory axon guidance protein","374946","DRAXIN"
13.8286362530918,-4.04436745726271,0.759755825654097,-5.3232463914058,1.01931528822055e-07,3.54391807449739e-07,"cytidine deaminase","978","CDA"
8.52787075188608,2.85925576500221,0.789746722313883,3.62047183510286,0.000294066261993963,0.000723772306156819,"RUNX family transcription factor 3","864","RUNX3"
20.8088303974424,-2.01706738833321,0.455301338389107,-4.43018110921826,9.41539814924779e-06,2.73588600007125e-05,"aurora kinase A and ninein interacting protein","79000","AUNIP"
82.7351085587211,-2.48788354917619,0.235884139074277,-10.5470573771507,5.24129482427474e-26,4.58162533334289e-25,"exostosin like glycosyltransferase 1","2134","EXTL1"
248.715147599884,-3.52266962027786,0.164601279632751,-21.4012286425563,1.3013334189541e-101,5.84727192943463e-100,"syncoilin, intermediate filament protein","81493","SYNC"
122.202137432252,-2.42411269643144,0.195217559026652,-12.4174931216125,2.1004037254857e-35,2.4924114417237e-34,"claspin","63967","CLSPN"
309.413921089907,-3.19981705199699,0.139249076696853,-22.979089900632,7.54517745764677e-117,4.16482492025461e-115,"cell division cycle associated 8","55143","CDCA8"
6.72067942828981,3.5978127579259,1.01124751259834,3.55779639811575,0.000373979003496263,0.000908322767555689,"hes related family bHLH transcription factor with YRPW motif like","26508","HEYL"
548.054729960495,-3.23340373494476,0.114651721630663,-28.2019640783135,5.53209165198134e-175,6.9685441681112e-173,"cell division cycle 20","991","CDC20"
300.535541619319,-2.95302462701455,0.138415331946838,-21.3345197058714,5.42992875105398e-101,2.43241002835968e-99,"kinesin family member 2C","11004","KIF2C"
21.4798159246607,2.82989198165189,0.486504418307475,5.81678577863064,5.99899410157902e-09,2.29823693966913e-08,"zinc finger SWIM-type containing 5","57643","ZSWIM5"
49.8295652262928,-2.88281485175919,0.32087597736006,-8.98420279223437,2.60616744034237e-19,1.74510203252003e-18,"RAD54 like","8438","RAD54L"
131.552292323887,-2.75714018901389,0.201695674945614,-13.6698032308195,1.53810538247651e-42,2.21806234118775e-41,"cyclin dependent kinase inhibitor 2C","1031","CDKN2C"
605.654170098824,-2.0867969772198,0.0858107005301628,-24.318610200441,1.24600690024837e-130,8.82867773839448e-129,"epidermal growth factor receptor pathway substrate 15","2060","EPS15"
62.6028396919314,-2.54031934733897,0.26860935980529,-9.45730018187157,3.15996579067989e-21,2.32277186149827e-20,"origin recognition complex subunit 1","4998","ORC1"
31.0763295811351,-2.06564101993564,0.363228525027227,-5.6868909725105,1.29372992252489e-08,4.8491840280193e-08,"nuclear factor I A","4774","NFIA"
333.252157523288,-2.83279348073001,0.125335213681245,-22.6017365553341,4.16660551159004e-113,2.20098322687505e-111,"DEP domain containing 1","55635","DEPDC1"
23.9649851762818,-2.25416772629563,0.4298014747628,-5.24467192100647,1.56560661151679e-07,5.36602563733361e-07,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","81849","ST6GALNAC5"
75.7468133455321,3.35502729996,0.293410825472886,11.4345723084782,2.80917503935286e-30,2.80688960881237e-29,"lysophosphatidic acid receptor 3","23566","LPAR3"
33.5214982464307,3.78953533146322,0.47317330560788,8.00876821779886,1.15863037994683e-15,6.58538161961294e-15,"chloride channel accessory 2","9635","CLCA2"
682.433310695606,-2.20541188070194,0.0980998844116572,-22.4812892892652,6.32748427127019e-112,3.2720864277186e-110,"guanylate binding protein 1","2633","GBP1"
89.9913078872336,-2.32236783015538,0.220774910800137,-10.519165523558,7.04951539392925e-26,6.13678428090545e-25,"guanylate binding protein 2","2634","GBP2"
747.210466132633,-2.18043253930011,0.0923899175256705,-23.6003299677616,3.8241632141231e-123,2.37808090505258e-121,"Rho GTPase activating protein 29","9411","ARHGAP29"
4483.62709360346,-2.42271923982668,0.0600016215412185,-40.3775627657392,0,0,"calponin 3","1266","CNN3"
1.68039679429588,-4.2619418040474,1.6878367589489,-2.52509123376453,0.0115668256466623,0.0225863841556508,"phospholipid phosphatase related 5","163404","PLPPR5"
215.560012132067,-2.08611319808431,0.159782402006165,-13.0559634345954,5.87619111292664e-39,7.66400925861176e-38,"proline and serine rich coiled-coil 1","84722","PSRC1"
2.17667202894805,4.48138074538884,1.54716244561611,2.89651597871112,0.00377331426036031,0.00799124954292143,"ciliary microtubule associated protein 3","128344","CIMAP3"
4.87392111876866,-2.38597269502384,0.928834724603844,-2.56878067951376,0.010205702611944,0.0201165768483123,"TAFA chemokine like family member 3","284467","TAFA3"
2053.88135557663,3.20195534801527,0.0724172012048843,44.2153976505697,0,0,"terminal nucleotidyltransferase 5C","54855","TENT5C"
1283.19734617957,-2.32800498477343,0.152523694565332,-15.2632349446286,1.34415915587244e-52,2.43668113643887e-51,"phosphoglycerate dehydrogenase","26227","PHGDH"
16.596191894567,-2.22948970021291,0.502207940488647,-4.43937564595977,9.02202257890179e-06,2.62572213206664e-05,"family with sequence similarity 72 member B","653820","FAM72B"
5.86998829636057,-2.67717724038582,0.88378287308339,-3.02922507543684,0.00245181945046519,0.00533750591742333,"family with sequence similarity 72 member C","554282","FAM72C"
11.4934459118352,-2.36668231985624,0.59911502987839,-3.95029702449067,7.80542677635163e-05,0.00020498285785793,"notch 2 N-terminal like A","388677","NOTCH2NLA"
4.83679464027018,2.587555846866,0.975832966153045,2.651638073949,0.00801023541311885,0.0160357035477514,"Fc gamma receptor Ia","2209","FCGR1A"
142.598013627199,-2.1220188902373,0.170228851113231,-12.4656829694856,1.14883289172816e-35,1.37208258981277e-34,"selenium binding protein 1","8991","SELENBP1"
201.547644874983,-2.53293182589335,0.153231987021437,-16.5300462072517,2.22972653379996e-61,4.91206422348935e-60,"CDC28 protein kinase regulatory subunit 1B","1163","CKS1B"
323.429239491754,-2.81373707390844,0.130539001597298,-21.5547617147295,4.77722240211051e-103,2.19335525739267e-101,"IQ motif containing GTPase activating protein 3","128239","IQGAP3"
